,country,population
0,China,1407300920.0
1,India,1375151025.0
2,United States,331419358.0
3,Indonesia,270203917.0
4,Pakistan,225200000.0
5,Brazil,212938632.0
6,Nigeria,211401000.0
7,Bangladesh,170414158.0
8,Russia,146238185.0
9,Mexico,126014024.0
10,Japan,125480000.0
11,Ethiopia,117876000.0
12,Philippines,110027477.0
13,Egypt,101686184.0
14,Vietnam,97580000.0
15,DR Congo,92378000.0
16,Iran,84321400.0
17,Turkey,83614362.0
18,Germany,83190556.0
19,France,67399000.0
20,United Kingdom,66796807.0
21,Thailand,66629267.0
22,South Africa,59622350.0
23,Tanzania,59441988.0
24,Italy,59257566.0
25,Myanmar,55294979.0
26,South Korea,51824142.0
27,Colombia,51049498.0
28,Kenya,47564296.0
29,Spain,47351567.0
30,Argentina,45808747.0
31,Algeria,44700000.0
32,Sudan,43349645.0
33,Uganda,42885900.0
34,Ukraine,41554836.0
35,Iraq,41190700.0
36,Canada,38403694.0
37,Poland,38244000.0
38,Morocco,36206744.0
39,Uzbekistan,34778592.0
40,Saudi Arabia,34218169.0
41,Peru,33035304.0
42,Afghanistan,32890171.0
43,Malaysia,32758310.0
44,Angola,32097671.0
45,Ghana,30955202.0
46,Mozambique,30832244.0
47,Yemen,30491000.0
48,Nepal,30378055.0
49,Venezuela,28705000.0
50,Ivory Coast,27087732.0
51,Madagascar,26923353.0
52,Australia,25772612.0
53,North Korea,25660000.0
54,Cameroon,24348251.0
55,Niger,24112753.0
56,Taiwan,23539588.0
57,Sri Lanka,21919000.0
58,Burkina Faso,21510181.0
59,Mali,20856000.0
60,Chile,19678363.0
61,Romania,19317984.0
62,Malawi,18898441.0
63,Kazakhstan,18898080.0
64,Zambia,18400556.0
65,Syria,18276000.0
66,Ecuador,17702112.0
67,Netherlands,17578081.0
68,Senegal,17223497.0
69,Guatemala,17109746.0
70,Chad,16818391.0
71,Somalia,16360000.0
72,Zimbabwe,15790716.0
73,Cambodia,15552211.0
74,South Sudan,13249924.0
75,Rwanda,12955768.0
76,Guinea,12907395.0
77,Burundi,12574571.0
78,Benin,12506347.0
79,Bolivia,11797257.0
80,Haiti,11743017.0
81,Tunisia,11708370.0
82,Belgium,11556297.0
83,Cuba,11193470.0
84,Jordan,10912208.0
85,Greece,10718565.0
86,Czech Republic,10701777.0
87,Dominican Republic,10535535.0
88,Sweden,10380491.0
89,Portugal,10295909.0
90,Azerbaijan,10122148.0
91,Hungary,9731000.0
92,United Arab Emirates,9503738.0
93,Honduras,9450711.0
94,Belarus,9408350.0
95,Israel,9331260.0
96,Tajikistan,9313800.0
97,Papua New Guinea,9122994.0
98,Austria,8933346.0
99,Switzerland,8655100.0
100,Sierra Leone,8297882.0
101,Togo,7886000.0
102,Hong Kong,7474200.0
103,Paraguay,7353038.0
104,Laos,7337783.0
105,Libya,6959000.0
106,Bulgaria,6951482.0
107,Serbia,6926705.0
108,El Salvador,6825935.0
109,Lebanon,6769000.0
110,Kyrgyzstan,6645500.0
111,Nicaragua,6527691.0
112,Turkmenistan,6118000.0
113,Denmark,5840045.0
114,Singapore,5685807.0
115,Congo,5657000.0
116,Central African Republic,5633412.0
117,Finland,5508198.0
118,Slovakia,5459781.0
119,Norway,5391369.0
120,Palestine,5227193.0
121,Costa Rica,5163038.0
122,New Zealand,5122963.0
123,Ireland,4977400.0
124,Liberia,4661010.0
125,Oman,4496419.0
126,Kuwait,4464521.0
127,Panama,4278500.0
128,Mauritania,4271197.0
129,Croatia,4047200.0
130,Georgia,3716858.0
131,Eritrea,3601000.0
132,Uruguay,3554915.0
133,Mongolia,3370086.0
134,Bosnia and Herzegovina,3332593.0
135,Puerto Rico (US),3193694.0
136,Armenia,2967900.0
137,Albania,2845955.0
138,Lithuania,2790044.0
139,Jamaica,2734093.0
140,Qatar,2717360.0
141,Moldova,2640438.0
142,Namibia,2550226.0
143,Botswana,2410338.0
144,Gambia,2335504.0
145,Gabon,2233272.0
146,Slovenia,2111461.0
147,North Macedonia,2076255.0
148,Lesotho,2007201.0
149,Latvia,1891300.0
150,Kosovo,1782115.0
151,Guinea-Bissau,1646077.0
152,Bahrain,1501635.0
153,Equatorial Guinea,1454789.0
154,Trinidad and Tobago,1366725.0
155,Estonia,1329460.0
156,East Timor,1317780.0
157,Mauritius,1266030.0
158,Eswatini,1093238.0
159,Djibouti,976107.0
160,Fiji,898402.0
161,Cyprus,888005.0
162,Comoros,758316.0
163,Bhutan,756129.0
164,Guyana,743699.0
165,Solomon Islands,728041.0
166,Macau,683100.0
167,Luxembourg,626108.0
168,Montenegro,621873.0
169,Western Sahara,612000.0
170,Suriname,590100.0
171,Cape Verde,563198.0
172,Malta,514564.0
173,Transnistria,469000.0
174,Brunei,459500.0
175,Belize,419199.0
176,Bahamas,393450.0
177,Maldives,383135.0
178,Northern Cyprus,372486.0
179,Iceland,368590.0
180,Vanuatu,301295.0
181,Barbados,288000.0
182,French Polynesia (France),279890.0
183,New Caledonia (France),273674.0
184,Abkhazia,245424.0
185,S\'e3o Tom\'e9 and Pr\'edncipe,214610.0
186,Samoa,199853.0
187,Saint Lucia,178696.0
188,Guam (US),178306.0
189,Cura\'e7ao (Netherlands),156223.0
190,Republic of Artsakh,148800.0
191,Kiribati,120740.0
192,Grenada,113000.0
193,Aruba (Netherlands),111904.0
194,Saint Vincent and the Grenadines,110696.0
195,Jersey (UK),107800.0
196,F.S. Micronesia,105754.0
197,U.S. Virgin Islands (US),104000.0
198,Tonga,99532.0
199,Antigua and Barbuda,99337.0
200,Seychelles,98462.0
201,Isle of Man (UK),83314.0
202,Andorra,78015.0
203,Dominica,72000.0
204,Cayman Islands (UK),64958.0
205,Bermuda (UK),64055.0
206,Guernsey (UK),63155.0
207,American Samoa (US),56951.0
208,Northern Mariana Islands (US),56801.0
209,Greenland (Denmark),56421.0
210,Marshall Islands,54516.0
211,Saint Kitts and Nevis,54000.0
212,South Ossetia[aa],53532.0
213,Faroe Islands (Denmark),53022.0
214,Turks and Caicos Islands (UK),42953.0
215,Sint Maarten (Netherlands),40614.0
216,Liechtenstein,39062.0
217,Monaco,38100.0
218,Saint Martin (France),34065.0
219,Gibraltar (UK),34003.0
220,San Marino,33600.0
221,\'c5land Islands (Finland),30152.0
222,British Virgin Islands (UK),30000.0
223,Palau,17957.0
224,Cook Islands (NZ),15342.0
225,Anguilla (UK),15000.0
226,Nauru,11832.0
227,Wallis and Futuna (France),11369.0
228,Tuvalu,10679.0
229,Saint Barth\'e9lemy (France),10124.0
230,Saint Pierre and Miquelon (France),5985.0
231,"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633.0
232,Montserrat (UK),5000.0
233,Falkland Islands (UK),3398.0
234,Christmas Island (Australia),1955.0
235,Norfolk Island (Australia),1735.0
236,Niue (NZ),1549.0
237,Tokelau (NZ),1501.0
238,Vatican City[ab],825.0
239,Cocos (Keeling) Islands (Australia),555.0
240,Pitcairn Islands (UK),50.0
