country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccine 1,vaccine 2,vaccine 3,population,gdp,land,cpi,lit_rate,political_stability
Afghanistan,54000,54000,0.14,0.14,0,Oxford/AstraZeneca,,,32890171,19291104008,652860,19,43.01971817,-2.649407
Albania,64075,6073,2.23,0.21,0.02,Pfizer/BioNTech,,,2845955,15279183290,27400,36,98.14115143,0.1185695
Algeria,75000,0,0.17,0,0,Sputnik V,,,44700000,1.71E+11,2381741,36,81.40783691,-1.003575
Andorra,9288,7098,12.02,9.19,1.64,Pfizer/BioNTech,,,78015,3154057987,470,,,1.615139
Angola,87022,87022,0.26,0.26,0,Oxford/AstraZeneca,,,32097671,88815697793,1246700,27,66.03011322,-0.3111005
Anguilla,5348,5348,35.65,35.65,0,Oxford/AstraZeneca,,,15000,,,,,1.367357
Antigua and Barbuda,25677,0,26.22,0,0,Oxford/AstraZeneca,,,99337,1661962963,440,,98.94999695,0.959709
Argentina,3570460,2908932,7.9,6.44,1.46,Sinopharm/Beijing,Oxford/AstraZeneca,Sputnik V,45808747,4.45E+11,2736690,42,99.0038681,-0.1199785
Australia,507000,159294,1.99,0.62,0,Oxford/AstraZeneca,Pfizer/BioNTech,,25772612,1.4E+12,7692020,77,,1.086503
Austria,1489710,1095782,16.54,12.17,4.37,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,8933346,4.45E+11,82520,76,,0.9801227
Azerbaijan,510420,510420,5.03,5.03,0,Sinovac,,,10122148,48047647059,82654,30,99.79122925,-0.681131
Bahamas,110,110,0.03,0.03,0,Oxford/AstraZeneca,,,393450,13578800000,10010,63,,0.8294795
Bahrain,724001,478094,42.55,28.1,14.45,Sinopharm/Beijing,Oxford/AstraZeneca,Pfizer/BioNTech,1501635,38574069149,780,42,97.46418762,-0.661518
Bangladesh,5139456,5139456,3.12,3.12,0,Oxford/AstraZeneca,,,170414158,3.03E+11,130170,26,74.6844635,-0.9181735
Barbados,62765,62765,21.84,21.84,0,Oxford/AstraZeneca,,,288000,5209000000,430,64,99.59999847,0.9417337
Belarus,30000,20000,0.32,0.21,0.11,Sputnik V,,,9408350,63080457023,202980,47,99.75656128,0.2891302
Belgium,1698809,1201488,14.66,10.37,4.29,Oxford/AstraZeneca,Moderna,Pfizer/BioNTech,11556297,5.33E+11,30280,76,,0.4811862
Belize,18182,18182,4.57,4.57,0,Oxford/AstraZeneca,,,419199,1879613600,22810,,76.90297699,0.0698153
Bermuda,34204,21049,54.93,33.8,21.12,Pfizer/BioNTech,,,64055,7484113000,54,,,1.077228
